annotation_id,contexte_avant,texte,contexte_apres,label,confiance_1_3,notes
M0224,"Sparazza is rumored to have performed in excess of one-hundred and thirty contract murders, including one of the bureau's most celebrated agents. Freeman Heller. You heard of ""The Turnpike Murders"" that was Sparazza.",I thought Heller was a double op?,,,,
M0225,"For heaven's sake, Bob, what's the matter with you? You went out there for the purpose of","George. George - do you mind? I'm sorry, but I can't talk about it tonight.",,,,
M0226,,I've arranged with those people we saw at Hau Fat to give us some 50 caliber in trade for a couple a drums of fuel --,No shit.,,,
M0227,"Nothing for a while. You forget, I'm a man of independent means. Or fairly independent.",Mmm. Why don't you go away for a while?,"To forget? Don't be so motherly, Midge. I'm not going to crack up.",,,
M0228,,Where are my supplies?,"I'm sorry, General. The cellar is empty.",,,
M0229,,"She knows. Clever, very clever.  And unappreciated. But I'm going to take you away from all this.",A night on the town instead of under it?,,,
M0230,"Good to see you, General.  This is Pastor Collins, director of Civil Defense.  Sheriff Bogany, head of the local forces ... Miss Van Buren.","Would you like some coffee, General?",,,,
M0231,How prominent?,He has his own submarine. I'll be getting everything that matters. I'll get New York and I'll get Connecticut.,,,,
M0232,"Mother, where did you go to law school?","Forgive me. I suppose I'm just naturally curious about a girl like that.  She's very rich, isn't she?",I suppose so. Her father owns a big newspaper in San Francisco.,,,
M0233,They could be.,"I'll stay out with you tonight, Doctor, just on the chance that you're right. And if you are right, damn you for letting him out.",,,,
M0234,,"Ahh --- Oh, it ticks!  Listen!",Yes...!,,,
M0235,I'd be gentle as a lizard --,I'd be clever as a gizzard --,,,,
M0236,I can't do that -- you heard MacFarlane.,Save yourself. Master Fettes look at MacFarlane and be warned.,He's a great doctor -- a great man --,,,
M0237,"Sort of, um...","Remember? ""And you take on the dreams of the ones who have slept there/And I'm lost in the window/I hide on the stairway/I hang in the curtain/I sleep in your hat...""  Oh, shit. I'm so stupid. Sorry.",What?,,,
M0238,"Oh yes, there is.","I don't think so.  Are you coming, Charles?",No.,,,
M0239,What do you remember?,"A room... there is a room, and I sit there alone... always alone...",Would you know the room?,,,
M0240,Hey--Joe! Where you going? We've got to celebrate tonight!,No--I--I'll take a walk--,,,,
M0241,"Oh, they'll publish it all right. But that's not going to stop me -","Charles, this - this story - doesn't concern only you.  I'll be in it, too, won't I?  And Junior?","I suppose so, but - I'm not afraid of the story.  You can't tell me that the voters of this state -",,,
M0242,"...Gruber's not bad.GALVIN Not bad...?  This guy's Dr. Kildare, the jury's going to love him, Mick...  And you calm down, all right?  Their guy, Towler's, the author of the book,  'Methodology and Practice, Anesthesiology.'  ...and they got depositions from the nurses, everybody in the operating room, the scrub-nurse...'All these guys are God.  I saw them walk on water...'",They had an obstetrical nurse in there.  We got a deposition from the obstetrical nurse?,No.,,,
M0243,You say 'fuck' a lot.,You fuck for money.,There's blood on your shirt.  Is that an integral part of your job?,,,
M0244,I'm in love with Lloyd!,Lloyd Richards is commercially the most successful playwright in America-,You have no right to say such things!,,,
M0245,"I thought that, too -- but I found that it does. Come along, dance with Kringelein.",Anything for you.,,,,
M0246,I can't even put a Band-Aid on my finger.,Here's the Surgeon.,,,,
M0247,,Does it work?,"No, but it's wonderful for threatening with.",,,
M0248,,"No. That night--I--well, *you* know-- I was pretty--. No--Diz is a--a sort of brother, that's all--",That's funny. I thought all along--  Gee--I--I'm glad to see you. I *thought* of you--I mean--I wanted to talk to someone and--well--  --Mr. Lincoln hasn't much to say--  Saunders--I'm not fit to sit up in the Senate--haven't you heard?--I robbed boys of their pennies and dimes!,,,
M0249,,You're talking very fast.,"Well, I'll tell you what - excuse me for breathing, will ya?  How do you like it?  He comes to my office and -",,,
M0250,"What kind of a girl are you, anyway?",Just what you see. A tiny cog in the great wheel of evolution.,"You're the most adorable cog I ever saw in my life. Ninotchka, Cogitska, let me confess something. Never did I dream I could feel like this toward a sergeant.",,,
M0251,I'm a what?,All them people shoutin' your name like they were doing tonight! Shit! That arm you got'll get'chu on a box of cereal...,,,,
M0252,"Shall we start the, uh...","Yeah, when do I get my hypnosis? You guys been talkin' for twenty minutes.",,,,
M0253,,Dad lives here?,"Not in this wing, actually. No.",,,
M0254,I don't want you to leave tomorrow.,I don't understand.,I don't want you to go anywhere until you have a definite plan.,,,
M0255,Autograph fiends! They're not people - those little beast who run in packs like coyotes-,"They're your fans, your audience-","They're nobody's fans! They're juvenile delinquents, mental detectives, they're nobody's audience, they never see a play or a movie, even - they're never indoors long enough!",,,
M0256,"I don't care what they say, you're a winner.","Yo, can I have my locker back?",,,,
M0257,"No, no, I wanted to get away.","So I noticed. Never seen a ""captain"" quite so ready to leave her ship.",,,,
M0258,"That's not him... Jesus, stop freaking me out.","In answer to your question, I suppose I endorse policies that are opposed to stupidity and violence and cruelty in any form...",I figured something like that...,,,
M0259,,"Over -- over so soon -- it has just begun.  Oh, the pain.","Try and sleep, Kringelein, don't be afraid.",,,
M0260,,He stopped by to see me at the shop before he came out here.,What did he want?,,,
M0261,Are you kidding?,It's nothing to be ashamed of --,Wait a minute!,,,
M0262,"You should be more careful, Anna.","And you too, Ninotchka.",About what?,,,
M0263,It's just that I'm very worried about Madame.,"Sure you are.  And we're not help- ing her any, feeding her lies and more lies.  Getting herself ready for a pioture ...  What happens when she finds out?",She never will.  That is my job. It has been for a long time.  You must understand I discovered her when she was eighteen.  I made her a star.  I cannot let her be destroyed.,,,
M0264,"I'm a Catholic, you know, and even to think about suicide is a terrible sin.","Yes, I know.","So then Mr. Gazzara -- he was a frienda my father -- he offered me this job in his butcher shop, and everybody pleaded with me to take it. So that's what happened. I didn't wanna be a butcher.",,,
M0265,Not exactly.,"I'm sorry, I usually would call Rajeev, but I didn't know what to do so I called Mr. Bianchinni.",He said you lost something.,,,
M0266,,Does it hurt?,I sense injuries.  The data could be called pain.,,,
M0267,They don't know?,No -- they don't.,Well -- when did you decide all this?,,,
M0268,"If these people lose their jobs, nowhere to go. My father worked at Bluestar for twenty-four years. I gave 'em my word.","It's all about bucks, kid, the rest is conversation...  Bud, you're still going to be president. And when the time comes, you'll parachute out a rich man. With the money you're going to make, your father won't have to work another day in his life.","Tell me, Gordon--when does it all end? How many yachts can you waterski behind? How much is enough?",,,
M0269,"Peter, you've got to promise me something. Promise you'll never lie the way Charles did. Why do people have to tell lies?",Usually it's because they want something -- and they're afraid the truth won't get it for them.,Do you tell lies?,,,
M0270,Why did you say that?,"Well this is your business, Benjamin.  If you --",No wait. Wait.,,,
M0271,This is my wedding.,Wouldn't it be a little embarrassing ...  all of us there ...  your other and me and your stepfather?,"He can stay home.  Please, Dad, won't you?",,,
M0272,,"What business is it of yours where I'm from, friendo?",I didn't mean nothin' by it.,,,
M0273,Three.,"Well, they'd be very stylish in Finland -- just before you froze to death. Begin to get the idea?",,,,
M0274,I see. Junkyards. What is the fascination there?,I don't know.,Is it the machines? The noise? The people?,,,
M0275,"Zinnowitz, would you say she was pretty?",Pretty as a picture.,Let's go down and find her -- I need a drink -- Come along Zinnowitz.  I don't know anything about women -- been married for twenty-six years.,,,
M0276,,"Here it is, Bruce. One -- two -- three -- four hundred -- and fifty dollars.",Thank you.,,,
M0277,,Igor -- are you sure the monster has a good brain?  Are you absolutely certain that you took the brain of Hans Delbruck that night?,Absolutely!  May my mother grow two heads if I'm not telling the truth.,,,
M0278,Can I help you?,You might hold this for me.,Love to.,,,
M0279,,It takes all types.,So who's he?,,,
M0280,"I'm not going to hurt you, absolutely, I'm not.",Will you let me go then?,,,,
M0281,I don't have a problem with it.,I like your hair.  And that suit.,"I had one just like it -- well, it was the same idea, but I had to get rid of it.",,,
M0282,This is all figured at three cents a copy.,"Re-figure it, Mr. Bernstein, at two cents.","All right, but I'll keep these figures, too, just in case.",,,
M0283,I feel so naked.  Like everybody's looking at me.,With those legs?  Are you crazy?,,,,
M0284,"Hildy, darling!","Yes -- 'Hildy, darling'. I'm just a fool. That's what I am. I know what it's going to be like.",It'll be Heaven!,,,
M0285,"What is it, honey?",It's that darn ghost again!  I don't know what to do anymore.  He just won't leave us alone.  I guess we'll just have to move.,Don't worry.  We're not moving.  He is.,,,
M0286,"Susie likes to keep her girlish secrets.  But in her heart of hearts I imagine, Dallas, that she fancies you in an uncommon way. Now, what about YOU, son?  Not just tom-catting around...I hope?","J.J., Steve isn't...",,,,
M0287,,Are you going home?,No.,,,
M0288,,Give it back to him. We're leavin'.,Maybe you are. I'm not.,,,
M0289,I'll look for 'em.  How you doing?,"I'm sorry to call, but I need that stuff...","Fine, I'm sure it's in the file at home.  I'll call you when I find it, and then we'll talk.",,,
M0290,You're not...,"No. I'll see some blood before this is over, but it won't be mine.",,,,
M0291,"It's this double-standard, the separate quarters, the deferential treatment.  It's how you pulled out my chair and nearly served high tea the first time we met.","Because I was civil, now you're complaining.","I can't afford civility, sir.  How am I supposed to fit in with these guys when you've got me set up as an outsider?  Even if I make it under these rules, I still lose, because there'll always be a flag in my file -- ""Yeah, she made it, but...""  I mean, really -- why didn't you just issue me a goddamn petticoat to wear around the base?",,,
M0292,,You tricked me.  I wouldn't have - I've never - never.,"I know, but it wasn't all bad was it? I think you found it quite pleasurable.  Oh so soft.  So sensual.",,,
M0293,The two kids?,Yep. Mitch and the little girl.,I see. How do I get down there?,,,
M0294,"When you jumped in the bay, you didn't know where you were. You guessed but you didn't know.","I didn't jump, I fell! You told me I fell!",Why did you jump?,,,
M0295,What?,Is that what you're trying to tell me?,I'm going home now. I apologize for what I said. I hope you can forget it. But I'm going home right now.,,,
M0296,Have you tackled the Great Reorganization yet?,Don't you think there are more important things to talk about than my record collection?,,,,
M0297,"It's hard to believe anything at all happened yesterday, isn't it? It's so beautiful and still now.  I think I've got it all figured out, by the way.",Really? Tell me about it.,It's an uprising.,,,
M0298,Guest?,We have opened a restaurant...,,,,
M0299,"Ah, to get out of Casablanca and go to America! You're a lucky man.","Oh, by the way, my agreement with Sam's always been that he gets twenty- five percent of the profits. That still goes.",Hmmm. I happen to know that he gets ten percent. But he's worth twenty- five.,,,
M0300,What's that?,They're put into the ground so they can be visited by the living...,,,,
M0301,"Well, I believe you when you say you go to school.",You want to go with me?,"What, are you kidding? See that book?  I've been trying to get through that book ever since I first got here. I haven't finished the first chapter.  Did you read all them books?",,,
M0302,Yes.,Will you bring up my purse before you go?,I have to go now. I'm sorry.,,,
M0303,"No, I have my things in the car.",Then stay and have something to eat before you start back. I'd feel a lot better.,,,,
M0304,Perry?,Perry Como!  You had him!  Go back! Go back!,"Okay, okay!  Take it easy!",,,
M0305,"C'mon, Mommy, don't start with that I'm an ungrateful son stuff.",I said no such thing.  All I said is that something must be wrong.,,,,
M0306,- even though Leonard's always asking you to go out with him and I - just -,What are you trying to say?,,,,
M0307,Are you here to help me?,What do you need?,,,,
M0308,,Lucky for us these chairs happened to be here.,Oh I knew about the chairs already. This is where the emphysema patients come to sneak cigarettes.,,,
M0309,"You and I, Niki, have very different ideas about sex.",Why? Are you a sex fiend?,No.,,,
M0310,Where you goin'?,I don't know.  Depends what train I get on.,,,,
M0311,...No... never in so many words...,"It's obvious you want to talk to someone--well, I'm someone.",,,,
M0312,"I don't think so, he should be along soon...",I wish he were here...,,,,
M0313,Why?,I can't... Forget the baby. Okay? The closest I was able to get you was Lathrop Wells. You'll have to hitchhike the rest of the way.,,,,
M0314,,The Carlsons' are here.,They are?  Come on.,,,
M0315,"Tell me, Claudia, what do you think of Raimondo?",I would say he's pretty depraved.,Oh no; quite the contrary. He's really just a child.,,,
M0316,"It's Fate, Hildy. What will be, will be.",What am I going to say to Bruce? What'll I tell him?,"If he really loves you, you won't have to tell him anything.  Snap out of it! Would you rather have had the old dame dragging the whole police force in here?",,,
M0317,"Oh, golly. And I forgot to tell you-","Yes, dear. You forgot all about it.","Well, I was sure you'd want to, of course, being his birthday, and you've been so busy these past few days, and last night I meant to tell you before you went out with the Richards - and I guess I was asleep when you got home...",,,
M0318,I can't believe it! But what about Doug?,There's a world of guys out there. I just wish I didn't have to date any of them.,Hey -- Doug Stallworth? It's his loss.,,,
M0319,The last ten years have been tough on a lot of people.,They haven't been tough on me.  I just lost my money.  But when I compare these last ten years with the twenty I spent with him -,"I feel kind of sorry for him, all the same -",,,
M0320,,"Miss Wilson will give you the guest list and any other details you may need, Miss Gallagher.","Thank you. I'll go and look for her at once. Goodbye, Mrs. Smith.",,,
M0321,"I could hide you, Tommy.","I know you would, Ma. But I ain't gonna let you. You hide somebody that's kilt a man an'... an' you'd be in trouble too.","Awright, Tommy. What you figger you gonna do?",,,
M0322,"Well, it is to me.  Will you give her a message?  I'd like her to have a little supper with me on my yacht after the show tonight.",Got it.  Supper - yacht - after the show - I'll tell her.  Your yacht?,,,,
M0323,"Physician, heal thyself.",That's all you have to say?,I'm not a drama critic.,,,
M0324,"Honey, she's perfect. She works all the time and she's wonderful with the children. And they love her, even Brother likes her though he won't admit it. I think she's just perfect.",Um-hmm. Almost too perfect.,"And she's such a good-hearted thing, there isn't an ounce of harm or malice in her.",,,
M0325,,Let the enemy have no power over her.,And the son of iniquity be powerless to harm her.,,,
M0326,"We're going up the tower, Madeleine.",No! Let me go!,We're going up the tower.,,,
M0327,,"Seven o'clock, same as usual.","I'll pick you up, Miss Daniels. Where are you staying?",,,
M0328,"Well, it was just fabulous!  I'm, I, you know...","Oh, gosh, you really think I can write?","I thought it was wonder-- There's maybe one or two things in there that I would do differently myself, but...",,,
M0329,You don't have two million.  Three million - -,I'll borrow it from you.  Four million - -,,,,
M0330,,Would they go over my girdle or under?,Instead of a girdle. And light as a feather.,,,
M0331,,"The Rockies...!  You'd rather get back to that big family of yours in Minnesota, wouldn't you?",I wonder if they're going through this too...?,,,
M0332,I checked. There was no divorce.,Are you telling me my husband is a bigamist???,I'm telling you he's not your husband at all.,,,
M0333,"Course we care.  What good's the world locked in a season of death. Frozen up, no folks to scare out of their wits on a summer's night; no babies to tickle; no more spells to cast... Think that's an enjoyable prospect?",There must be an answer somewhere.,"True... But it won't come easy or free.  If ye want to ask, ask Jenny Greenteeth.",,,
M0334,I don't want it reported!,"Why, that's ridiculous! They're responsible for everything that","See here, can you understand English! I don't want it reported!  Please stay out of my affairs!  I want to be left alone.  A CLOSE-UP of PETER shows him glaring after her.",,,
M0335,,"Jimmy, you're very young--and a foolish decision now could wreck your whole life.",Dad--answer her--aren't you going to stand up for me?,,,
M0336,"I have a friend coming in from out of town, I'll probably be spending some time with him the next couple of days.","Meaning we'll have to cool it for awhile, right?",Right.,,,
M0337,"There ain't no possums in this woods tonight, Daddy.","Looks that way, son. Guess the cold done drove most of 'em down to the big water country -- but if there's one left out here -- we gotta find him.","It's cold, Daddy!",,,
M0338,Peter?  Peter was a mistake.  An imposter.,"The last dead end in a long series of dead ends that I am relieved to finally be leaving behind.  May as well start packing, our cab's gonna be here in an hour.",Who said I was going?,,,
M0339,Does that mean you love me?,You bet your boots it does.,,,,
M0340,,Would you like to come in? I could make some coffee.,"No, I mean -- I wouldn't want to wake anyone up.",,,
M0341,,"You know, that's real sweet music in there. You can almost smell the action and the money. You know, I can feel it right down in the bottom of my shoes.","Come on, let's go...",,,
M0342,,"Here, it will be cold on that train.",I shall be all right.,,,
M0343,,That's a lie!!,I never saw him before!,,,
M0344,,"You don't half slam the door in people's faces, do you? I mean, what about when you're playing the part, like, hundreds of people'll see you and ...",I'm not ...,,,
M0345,,No -- don't cry --,GET OUT!,,,
M0346,My very words.,"Well, that's what you get for falling in love with a guy who's first name is Ramblin'.",,,,
M0347,Hello.,Do I know you?,I don't think so.,,,
M0348,Where did you get this gun?,I bought it in a pawn shop.,Don't lie to me.,,,
M0349,,"I'm so comfortable with that, Walt, I can't <u>tell</u> you...","Well, Joe said it, and he's right.",,,
M0350,No.,He has a little dog.,"Oh, yes, yes.",,,
M0351,How can you think about food at a time like this?,What else is there for me?,Is it that hopeless?,,,
M0352,Hey.,She got anything good?,"Oh, yeah. Steph's way into Pinots and Syrahs.  Hey, Steph? You sure we can open anything? Anything we want?",,,
M0353,Um-<u>hum</u> ...,But why talk about robbery on a night like this?,,,,
M0354,You don't even want to touch me.,"Yes. Yes, I do.",,,,
M0355,I can't fly. I haven't got any wings.,"You haven't got your wings. Yeah, that's right.",,,,
M0356,I guess when I nearly died giving birth to you--that shows how much I don't care!,"Just relax, please relax!",,,,
M0357,It's pretty embarrassing. I really don't know what to tell Mr. Robinson. It's awkward and strained for me every time he suggests that you call up Elaine.,"Next time he suggests it, I'll tell him I have no intention of ever calling her up in my life.",,,,
M0358,,"That's what is know as ""manless melancholia.""",Miss Lonely Hearts. At least that's something you'll never have to worry about.,,,
M0359,And the beauty of it is she'll never have to know 'till I've passed on. Maybe she'll think kindly of me --- after I'm gone.,"Gee, you almost make me feel like a heel -- coming between you.","No, Bruce, you didn't come between us. It was all over for her before you came on the scene. For me -- it'll never be over.",,,
M0360,,Tell me again -- what's my name?,Dr. Dreyfuss.,,,
M0361,,What are you doing?,Oh. Nothing... Sitting.,,,
M0362,,"Tell me, why this sudden desire to publish  to awaken like Byron and find yourself famous.",I think it's time.,,,
M0363,"That's why you come back, huh?","It's hard to see any change. But I'm going to stay. Another year, anyway.","You got more guts than me, baby. It's a no-good town.",,,
M0364,"I wouldn't have come if I had known that you were here. Believe me, Rick, it's true. I didn't know.","It's funny about your voice, how it hasn't changed. I can still hear it. ""Richard dear, I'll go with you any place. We'll get on a train together and never stop.""","Please don't. Don't, Rick. I can understand how you feel.",,,
M0365,,"I have here a discovery that will startle the world. It's the vertebrae from the lumbar of a Megatherium,[4] found in Asia.","Well, what do you know about that!",,,
M0366,You need to control yourself and <u>think</u> before you --,"Act.  Here we go again.  Reed, what if we got these gifts for a <u>reason</u>?  What if we have some, you know...like, calling?",A higher calling like getting girls and making money?,,,
M0367,"Mustn't look, little miss. Mustn't look.",But I saw what it was. It's the little deer.,,,,
M0368,"I've heard the arguments.  Like Napoleon's quote, ""There's one thing you can't do with a bayonet, and that's - sit on it.""","That's right, sir.  And don't forget in a few years a lot of other countries will have the bomb.  What if they start something?","Go on, Major.  You fascinate me.",,,
M0369,Are you manifesting them?,"If I was, then I would've had to have gone in the sphere, wouldn't I?",Did you?,,,
M0370,"I don't know, Fred. There's that reprieve if they ever find out.","Nobody reprieved that policeman he murdered. Now, do as I tell you.","Hello, Olsen... Listen...  Shoot to kill... That's the orders pass the word along... No! We dont want him! And listen, Olsen, five- hundred bucks for the guy that does the job... Yes, I'll be right out there.  Well, I hope that's the right thing to do.",,,
M0371,,"Have you visited the little boy on my floor?  Jacob, the one who looks kind of sad?",There aren't any little boys on your floor.,,,
M0372,Naturally there will be a few incidental expenses. That is the proposition I have for whoever has those letters.,I'll tell him when he comes in.,"Rick, I'll put my cards on the table. I think you know where those letters are.",,,
M0373,"She's definitely part of this.  It's weird, for a while Ivy was all I could think about.  But then...",I know.  The feeling just vanished.,I can't believe we were fighting over a  bad guy.,,,
M0374,Sure.,Cut it out.,,,,
M0375,I don't know... I don't know...,"That was the beginning, the night of the conception. That's why she burnt the sheets.",,,,
M0376,I think maybe you'd better deliver him. Let me give you my address.,"Oh. Oh, well, all right.",,,,
M0377,,You might give me a little credit.,What for?,,,
M0378,"They covered 'em over.  And not too carefully either, cause you dig one inch under the surface, and the dirt is green as a fucking shamrock.",And that's what caused the contamination?,"It didn't help, but no.  The real problem's on the bottom.",,,
M0379,What?,Would you check in on Elijah? He seems to be a little under the weather this morning.,Which one is Elijah again?,,,
M0380,I got my wish anyway.,"You mustn't tell anybody, or it won't come true.",But it's already come true.,,,
M0381,,"The greatest yarn ever written by anybody. My hat's off to you, Hildy!",Thanks.,,,
M0382,,Tell me about Doctor Paley?,I hardly know him.  He wanted me and he couldn't have me.,,,
M0383,"I heard about your little misadventure yesterday, Miss Connell.  On your first ""day off,"" too.","Well, I had a good time up to a point.",Wesley can be very entertaining.,,,
M0384,"I've been watching you. You couldn't see me, but I could see you. It was like peeking through a slit in the curtain before the play began. You would be a very good audience. I can see that.","If you were the lady who gave me a ring, my mother says I have to give it back to you.",Return it to me? Indeed you may not. I gave it to you as a present.,,,
M0385,"Ed, I swear, I'm not --","Okay, fine.  <u>Fine</u>  You backed me into a corner again.  You're holding me hostage ...",,,,
M0386,,"I'm sure it's warmer in her than outside, though.  I haven't been out yet, but it usually is...the control is fouled...",Where is LUH?,,,
M0387,"Of course, not, Charlie. I never thought you did.",And my leopard - - maybe he hurt the first girl -- but no more.,,,,
M0388,Okay.,So make your domestic decisions and maybe we'll talk again.,,,,
M0389,You want to ask me a question?,"See, this is why I lose at poker. Yes, I do have a question.",,,,
M0390,I have. Sit down over there.,Put that gun down.,,,,
M0391,,"But, madame, you keep a hundred thousand francs--in your safe--at <u>home</u>?",You think that's too much?,,,
M0392,They sedated me.  We're stuck here till it wears off.,Let's try this way.,,,,
M0393,I know... my heart is sad... but my feet are happy. When all the tanks and guns were roaring over the Red Square I sat here all by myself and played a Beethoven sonata. Not bad at all.  Are you expecting someone?,A few friends... just a little dinner party.,What are you serving?,,,
M0394,What for?,Patients are rationed to one pack of cigarettes a day.,,,,
M0395,"Oh -- careful, Mr. Preysing.",Call me -- do you know -- would you -- would you like to call me by my first name?,"Oh, no.",,,
M0396,I don't know.,"C'est absurde, Madame. To-tale-ment absurde!",I know.  I'm sorry.,,,
M0397,,Do you think I should go?,That's up to you.,,,
M0398,White perch.,Are they feeding?,Doesn't <u>look</u> like it.,,,
M0399,"Helena, please.  This is out of your hands.","I know I made things worse.  I know that and I'm sorry, but Arnie I need something from you.  Something only you can help me with.",,,,
M0400,Yes -- I'd love to.,Then dance the next number with Kringelein.,Why?,,,
M0401,No problem. Why don't we discuss it sometime over the holidays -- I could call you and pick you up and we'll have the big unveiling --  -- you sure this is the right way to wear it?,I think so.,You don't think it's tilted a little too much --,,,
M0402,"It wasn't the way I wanted it!  I can handle things.  I'm not dumb Christ, not like everyone says. I'm smart; and I want respect.",There's nothing more you can tell me about this investigation?,"The lawyer; Questadt, he belongs to Roth.",,,
M0403,Chef -- is that 'cause you like mangoes an' stuff?,"No, sir -- I'm a real chef, sir -- I'm a sauciere --",A sauciere --,,,
M0404,Did Lester know about him?,There was nothing to know. Anyway... if I can't have love I have to at least have money. I have to have some pride I can do something.,,,,
M0405,Tell me some more about this Krueger guy.,Why don't I go make some coffee.  There's a lot to tell.,,,,
M0406,Are those cameras all throughout the house?,"Yes, I thought that it would be best.",Even in the bathroom?,,,
M0407,I don't want to bore you.,"Oh, you couldn't possibly.","Well, it was my freshman year at Princeton - there was this girl - her name was Nellie - her father was vice-president of Hupmobile - she wore glasses, too.  That summer we spent our vacation at the Grand Canyon - we were standing on the highest ledge, watching the sunset - suddenly we had an impulse to kiss - I took off my glasses - I took a step toward her - she took a step toward me -",,,
M0408,,He's cutting our throat...,But what can we do?... We have to accept.,,,
M0409,Yeah?,"I wanted to ask you something, on account you've been around so long.",Shoot. They don't call me the Wizard for nothing.,,,
M0410,"I did, didn' I, El?",You got another ball comin'.,,,,
M0411,"It was perfect, George.  Amazing.  It was so real.","Didn't you once dream you could lick people well, though?",That wasn't a dream.  That was Sam.,,,
M0412,,"So, who is he? We have to know him.",Everyone sees someone different. That's what we show.,,,
M0413,I just fnished work. I counted the bags.,"We got a little extra detail for you. The local priest and this Doyle girl are getting up a meeting in the church. We'd like a rundown on it. You know, names and numbers of all the players. You're nominated.","Why me, Charley? I'd feel funny going in there.",,,
M0414,Can you even imagine?  Who the hell would go to this a bastion of commercial excess?,"Well, I guess we're not, since we don't have dates .","Listen to you!  You sound like Betty, all pissed off because Archie is taking Veronica.",,,
M0415,Like?,I'm not sure.  Is there a secret?,,,,
M0416,Your memory is really getting bad.,I just forgot.,,,,
M0417,"It's best not to get too close. Juliet's still not a hundred percent. Hello, Juliet! We've bought you some fruit.",Thank you so much!,,,,
M0418,"What happened, Doolittle?","Bomb must have gone off inside the ship. Nothing we can do about it now. Hey, it looks like... the skipper. He made it. Commander Powell made it!",,,,
M0419,"I got no idea of love. And neither have you. I mean, neither one of us would know what it was if we saw it coming down the street.","I'd know it, Eddie. I'd know. For God's sakes, what are you trying to do to me? I love you.","Well, what's your idea of love? Chains?",,,
M0420,"You're a comfort to me, Henry.",What now? Writing about it in your journal won't help.,It's a letter to my father.,,,
M0421,Meaning what?,"Oh, I don't know. Up-tight. Frigid.",,,,
M0422,Why not?,Because I don't want you to.,,,,
M0423,I...,You want me to tell you it's your fault?  It probably is.  What are you going to do about it?   I thought it's not over till the jury comes in.,Who told you that?,,,
M0424,I said that's the point!,"Look, King, maybe you've lost too much blood, or something.","Lieutentant Zogg, how would you like your black butt slung into a General Court Martial when we get back???",,,
M0425,,Did you offer the young lady some fruit?,"I offered her, Ma, she don't want nothing.",,,
M0426,Just a road thief. Picks people up and runs off with their stuff. What a racket!,What'd you give him for the car?,A black eye.,,,
M0427,Uh-huh.,"You see, from this vertebrae I shall be able to reconstruct the entire skeleton.","Wait a minute, you expect to be knighted for finding that soupbone?",,,
M0428,No conditions.,What makes you think I won't turn us around?,"Because you, too, must know.",,,
M0429,"On her knees, I have no doubt! Very touching, very Academy-of-Dramatic Arts!",That bitter cynicism of yours is something you've acquired since you left Radcliffe!,"The cynicism you refer to, I acquired the day I discovered I was different from little boys!",,,
M0430,"Darling, I don't care - really I don't.  Sidney'd had a secret crush on me for years, but nothing we do is his business -","But he could be reporting back to your brother, couldn't he?","Steve, dear, please forget all of this.  What can it matter after tomorrow?",,,
M0431,,"No, I can't tell you!",What?!,,,
M0432,"You knew when you came in that the audition was over, that Eve was your understudy! Playing that childish game of cat and mouse...","Not mouse, never mouse! If anything - rat!",You have a genius for making barroom brawl out of a perfectly innocent misunderstanding at most!,,,
M0433,"Water pump's busted. I don't know if it's worth fixin', but I need that car.",You can have what I've got. It's right there.,,,,
M0434,,Those aren't my friends.  Make them go away.,Ray!  Will you tell these guys to move back?,,,
M0435,Had the boys follow us.,"Marvelous!  ""At two o'clock this morning, Mr. Deeds tied up traffic while he fed a bagful of doughnuts to a horse. When asked why he was doing it, he replied: 'I just wanted to see how many doughnuts this horse would eat before he'd ask for a cup of coffee.'""  Beautiful! What happened after that?",I don't know. I had to duck to get the story out. He was so far along he never even missed me.,,,
M0436,Sure a lot of guys lookin' for Lednov.,Yeah -- and Lednov's only lookin' for one man. Me.,Why?,,,
M0437,Don't you ever have any problems?,I have one now.,So do I.,,,
M0438,,You gotta be kidding me.,"'Tis the season, convict.",,,
M0439,,"Stop it, Alvy!","Well, he's spitting on my neck! You know, he's spitting on my neck when he talks.",,,
M0440,,Who's Herne the Huntsman?,Don't you read Shakespeare?,,,
M0441,"Well, did you get a job out of it at least?",I'd like you to leave now.,,,,
M0442,"Hang on, get it up, go on, higher.",Your 33rd birthday.  The transformation will be a perversion of Christ's rising from the dead.  Townsend discovered it in one of Lareaux's books.,,,,
M0443,,"Okay, I'm going ahead. Wait a minute, what's her name?","Oh brother. Dorothy Vallens, Seventh Floor. Look on the mailbox for her number, bright boy.",,,
M0444,,"Okay, Phyllis, what's up?",Kramer...,,,
M0445,"Lesion, Lesion in the temperal lobe. It's a kind of seizure disorder.","Look doc, I really don't understand how her whole personality could change.","The temperal lobe is very common. Could last for days, even weeks. It isn't rare to find destructive or even criminal behaviour.",,,
M0446,Do you think anybody in the Fifties ever made love on a bed?,What the hell is that?,,,,
M0447,,"We're all in it.  There won't be a shred of pride or decency left for any of use.  Say something, Paul!  You've always been good with words.  Put some together, now, and tell us that you're not responsible -- that every damnable bit of it doesn't rest squarely on your shoulders!","You're wrong, Wesley.  The guilt is mine -- all of it.",,,
M0448,Go on... go on...,She tossed her ring in the pond and bid me fetch it.  Said she'd marry me if I did.,And did you?,,,
M0449,What you say is wonderful! But sad...,They're not my words. John Wayne said it in Shepherd of the Hills.,,,,
M0450,Love ya.,Hey Chief. Bring my cup back.,,,,
